Material;Werk;BewertArt;Materialkurztext;Ltz. Änd;MArt;Warengrp;BME;EKG;ABC;DMk;BewKl;Prs;Preis;Währg;pro;Angelegt;Preisänd.;_1
5771;2250;;(Z) Pyrisma T40-21 SW Color Space Red;15.09.2025;ROH;2043;KG;221;D;PD;3000;V;0;USD;1000;SZEGEDI;;
5771;2830;;(Z) Pyrisma T40-21 SW Color Space Red;15.09.2025;ROH;2043;KG;296;D;PD;3000;V;0;CNY;1000;SZEGEDI;;
5771;2850;;(Z) Pyrisma T40-21 SW Color Space Red;15.09.2025;ROH;2043;KG;296;D;PD;3000;V;0;CNY;1000;SZEGEDI;;
5771;300;;(Z) Pyrisma T40-21 SW Color Space Red;15.09.2025;ROH;2043;KG;30;A;PD;3000;V;0;EUR;1000;SZEGEDI;;
5772;200;;(Z) DECOSILK 15F ECHTROT;03.06.2025;ROH;2090;KG;9;Z;ND;3000;V;41770;EUR;1000;ROLF;;
5772;300;;(Z) DECOSILK 15F ECHTROT;03.06.2025;ROH;2090;KG;9;Z;ND;3000;V;41770;EUR;1000;ROLF;;
5773;2250;;(Z) CORROSPERSE 17MM;13.03.2025;ROH;3016;KG;221;Z;ND;3001;V;8120;USD;1000;SZEGEDI;;
5774;2250;;(Z) Cromophtal Rot A 2 B;13.03.2025;ROH;2013;KG;221;;PD;3000;V;87699,07;USD;1000;SZEGEDI;;
5775;200;;(Z) PERMANENT-CARMIN FBB EX;03.06.2025;ROH;2013;KG;9;Z;ND;3000;V;13320;EUR;1000;ROLF;;
5775;300;;(Z) PERMANENT-CARMIN FBB EX;03.06.2025;ROH;2013;KG;9;Z;ND;3000;V;13320;EUR;1000;ROLF;;
5776;200;;(U) Alpate 8130 N AR;03.06.2025;ROH;2064;KG;9;Z;ND;3000;V;0;EUR;1000;SZEGEDI;;
5776;300;;(U) Alpate 8130 N AR;03.06.2025;ROH;2064;KG;9;Z;ND;3000;V;0;EUR;1000;SZEGEDI;;
5777;2250;;(Z) IRGAZIN DPP RED BO;13.03.2025;ROH;2013;KG;221;Z;ND;3000;V;33000;USD;1000;SZEGEDI;;
5778;200;;Radglo RS 13 Orange;07.07.2025;ROH;2090;KG;20;Z;PD;3000;V;30050;EUR;1000;ROLF;;
5778;300;;Radglo RS 13 Orange;07.07.2025;ROH;2090;KG;30;Z;ND;3000;V;18870,91;EUR;1000;ROLF;;
5779;2250;;(U) AC-1005 trans. Oxidrot;13.03.2025;ROH;2013;KG;221;Z;ND;3000;V;9600;USD;1000;SZEGEDI;;
5780;200;;(U) 1,2,4-Triazol;03.06.2025;ROH;5050;KG;20;A;PD;3004;V;11500;EUR;1000;SZEGEDI;;
5780;300;;(U) 1,2,4-Triazol;03.06.2025;ROH;5050;KG;30;A;PD;3004;V;0;EUR;1000;SZEGEDI;;
5781;200;;(X) Nyad G;30.09.2025;ROH;3012;KG;20;A;PD;3001;V;1798,22;EUR;1000;BLUHM;;
5781;300;;(X) Nyad G;30.09.2025;ROH;3012;KG;30;A;PD;3001;V;0;EUR;1000;BLUHM;;
5781;800;;(X) Nyad G;30.09.2025;ROH;3012;KG;80;A;PD;3001;V;0;EUR;1000;BLUHM;;
5782;200;;(Z)Colorstream F20-00 WNT Autumn Mystery;03.06.2025;ROH;2043;KG;15;Z;PD;3000;V;241749,32;EUR;1000;BLUHM;;
5782;300;;(Z)Colorstream F20-00 WNT Autumn Mystery;03.06.2025;ROH;2043;KG;30;Z;PD;3000;V;0;EUR;1000;BLUHM;;
5783;800;;Quarzsand WIT-QS, 0,5-1,5mm;30.09.2025;ROH;3012;KG;80;D;PD;3001;V;469,47;EUR;1000;BLUHM;;
5784;200;;Disperbyk 2001;16.10.2025;ROH;5010;KG;15;D;ZD;3004;V;17520,49;EUR;1000;BLUHM;;
5784;2250;;Disperbyk 2001;16.10.2025;ROH;5010;KG;221;D;PD;3004;V;23018,14;USD;1000;BLUHM;;
5784;2830;;Disperbyk 2001;16.10.2025;ROH;5010;KG;296;D;PD;3004;V;0;CNY;1000;BLUHM;;
5784;2850;;Disperbyk 2001;16.10.2025;ROH;5010;KG;296;D;PD;3004;V;0;CNY;1000;BLUHM;;
5784;300;;Disperbyk 2001;16.10.2025;ROH;5010;KG;30;D;PD;3004;V;0;EUR;1000;BLUHM;;
5784;800;;Disperbyk 2001;16.10.2025;ROH;5010;KG;80;D;PD;3004;V;17776,49;EUR;1000;BLUHM;;
5785;200;;Rheobyk D 410, alt: Byk D 410;30.09.2025;ROH;5060;KG;15;D;ZD;3004;V;19864,27;EUR;1000;SZEGEDI;;
5785;2310;;Rheobyk D 410, alt: Byk D 410;30.09.2025;ROH;5060;KG;234;D;PD;3004;V;0;MXN;1000;SZEGEDI;;
5785;2830;;Rheobyk D 410, alt: Byk D 410;30.09.2025;ROH;5060;KG;296;D;PD;3004;V;0;CNY;1000;SZEGEDI;;
5785;2850;;Rheobyk D 410, alt: Byk D 410;30.09.2025;ROH;5060;KG;296;D;PD;3004;V;0;CNY;1000;SZEGEDI;;
5785;300;;Rheobyk D 410, alt: Byk D 410;30.09.2025;ROH;5060;KG;30;D;PD;3004;V;19938,6;EUR;1000;SZEGEDI;;
5785;800;;Rheobyk D 410, alt: Byk D 410;30.09.2025;ROH;5060;KG;80;D;PD;3004;V;0;EUR;1000;SZEGEDI;;
