Lieferant;Name des Lieferanten;Straße;Lnd;PLZ;Ort;Gruppe;Suchbegriff;S;SF;LöVm;CPD-Konto;EkOr;Bezeichnung;ZBed;IncTm;Inco. 2;S_1;L;MindWert;Währ.;Verkäufer;Telefon;EkOr_2;Anzahl
64923;Gravo Tech GmbH;Am Gansacker 3a;DE;79224;Umkirch;1;GRAVO;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64941;Codan Medical GmbH;Stig Hused-Andersen Straße 11;DE;23738;Lensahn;1;CODAN;;;;;1000;Zentraleinkauf;1;DDP;;;;0;EUR;;;;1
64954;VISCO JET Rührsysteme GmbH;Daimlerstraße 1;DE;79761;Waldshut-Tiengen;1;VISCO;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64961;Globetrotter Erlebnis GmbH;;DE;;;1;GLOBETROTT;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64963;SPX  Flow Technology Bran + Luebbe;Werkstrasse 4;DE;22844;Norderstedt;1;SPX FLOW T;;;;;1000;Zentraleinkauf;39;EXW;;;;0;EUR;;;;1
64964;Anton Schneider Söhne GmbH & Co. KG;Unterheydener Str. 30;DE;41236;Mönchengladbach;1;ANTON SCHN;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64975;Adler Vertriebs GmbH & Co.;Altenkesseler Straße 17/B7;DE;66115;Saarbrücken;1;ADLER;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
64977;Costenoble H. GmbH & Co.KG;Rudolf-Diesel-Str. 18;DE;65760;Eschborn;1;COSTENOBLE;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
64988;Bühler AG;Straße;CH;9240;Uzwil;1;BÜHLER;;;;;1000;Zentraleinkauf;39;;;;;0;EUR;;;;1
64995;Keller Lufttechnik GmbH & Co. KG;Neue Weilheimer Str. 30;DE;73230;Kirchheim u. Teck;1;KELLER;;;;;1000;Zentraleinkauf;67;DDP;;;;0;EUR;;;;1
64997;Edition Maritim GmbH;Raboisen 8;DE;20095;Hamburg;1;MARITIM;;;;;1000;Zentraleinkauf;31;DDP;;;;0;EUR;;;;1
65008;Westdeutscher Metall-Handel;Manderscheidtstrasse 76-78;DE;45141;Essen;1;WMH;;;;;1000;Zentraleinkauf;39;DDP;;;;0;EUR;;;;1
